commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Marmaray + Metro (cross-city),2.9,2,1.451,Desktop Office PC,0.5,3.7,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.406,4.0,0,2.1,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.26,11,Streetwear / Heavy Denim,Never,7.15,Moderate Meat,0,No,Rarely (1-2/month),Tap / Filtered (0),5.325,19.591
Metrobüs,10.5,3,2.737,Tablet Only,2.4,3.8,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.264,3.0,0,3.3,Sometimes,22.0,None,Medium (3-4 cycles/wk),2.202,7,Fast Fashion,Rarely (1-2/yr),3.501,Heavy Meat Eater,1,Yes,Rarely (1-2/month),Tap / Filtered (0),7.585,20.29
Personal Car (Diesel),8.8,0,1.505,Mid-Range Gaming Laptop,5.3,2.5,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.933,1.0,1,4.0,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.46,3,Designer / Luxury,Rarely (1-2/yr),2.251,Moderate Meat,2,Yes,Never,3-4 bottles/day,6.3,12.45
Personal Car (Hybrid),25.9,0,2.849,High-End Gaming Laptop,8.0,7.1,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),7.504,4.0,5,3.2,Sometimes,8.0,Cat (Indoor),High (5+ cycles/wk),2.682,8,Fast Fashion,Sometimes (3-6/yr),4.005,Moderate Meat,3,No,Sometimes (1-2/week),Tap / Filtered (0),5.58,22.62
Personal Car (Diesel),9.4,0,1.607,Standard Office Laptop,0.5,4.8,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.324,0.0,1,3.5,Strict Recycler,10.0,Cat (Indoor),High (5+ cycles/wk),1.138,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Vegetarian,4,No,Sometimes (1-2/week),Tap / Filtered (0),3.84,11.36
Personal Car (Diesel),18.0,1,3.763,Mid-Range Gaming Laptop,3.2,2.4,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.514,0.0,1,2.5,Never,16.0,None,Medium (3-4 cycles/wk),2.154,5,Fast Fashion,Sometimes (3-6/yr),2.505,Heavy Meat Eater,0,No,Sometimes (1-2/week),5+ bottles/day,7.4,20.337
Personal Car (Diesel),26.3,1,5.182,High-End Gaming Laptop,2.7,4.3,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.984,2.0,1,3.7,Sometimes,16.0,Cat (Indoor),High (5+ cycles/wk),2.796,10,Fast Fashion,Sometimes (3-6/yr),5.005,Heavy Meat Eater,1,No,Never,Tap / Filtered (0),6.96,21.928
Metrobüs,9.2,1,1.283,Desktop Gaming PC,1.1,2.3,Budget Phone (4000 mAh),1,Dormitory (Shared),2.068,0.0,0,5.2,Sometimes,8.0,None,Dormitory / Outsourced,0.686,3,Minimal / Capsule,Rarely (1-2/yr),0.751,Moderate Meat,0,No,Sometimes (1-2/week),1-2 bottles/day,5.52,10.308
Personal Car (Diesel),18.3,4,5.869,Standard Office Laptop,0.0,6.6,Budget Phone (4000 mAh),2,Family Home (High Usage),6.657,1.0,0,4.1,Strict Recycler,17.0,None,Dormitory / Outsourced,0.549,5,Minimal / Capsule,Rarely (1-2/yr),1.251,Pescatarian,2,No,Sometimes (1-2/week),5+ bottles/day,5.12,19.446
Electric Scooter / E-Bike,30.0,2,1.82,Desktop Gaming PC,2.9,4.3,Budget Phone (4000 mAh),2,Dormitory (Shared),2.701,0.0,1,4.2,Sometimes,10.0,None,Low (1-2 cycles/wk),1.005,2,Fast Fashion,Sometimes (3-6/yr),1.005,Vegetarian,4,No,Never,Tap / Filtered (0),3.74,10.271
Ferry + Bus,6.3,0,0.598,Desktop Office PC,7.3,2.5,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.671,2.0,0,3.4,Sometimes,18.0,Cat (Indoor),Medium (3-4 cycles/wk),2.634,2,Streetwear / Heavy Denim,Never,1.3,Moderate Meat,2,No,Rarely (1-2/month),Tap / Filtered (0),5.445,14.648
Personal Car (Gasoline),15.1,1,3.584,High-End Gaming Laptop,2.5,5.0,Budget Phone (4000 mAh),2,Dormitory (Shared),2.01,0.0,1,0.7,Never,7.0,None,Dormitory / Outsourced,1.005,4,Streetwear / Heavy Denim,Sometimes (3-6/yr),2.605,Vegetarian,5,Yes,Sometimes (1-2/week),3-4 bottles/day,4.78,13.985
Marmaray + Metro (cross-city),9.2,1,0.943,Desktop Gaming PC,1.4,3.6,Budget Phone (4000 mAh),1,Apartment (Electric),4.631,0.0,0,1.4,Never,11.0,None,Low (1-2 cycles/wk),1.284,10,Minimal / Capsule,Sometimes (3-6/yr),2.505,Vegan,3,No,Rarely (1-2/month),Tap / Filtered (0),2.805,12.168
Marmaray + Metro (cross-city),6.5,1,0.867,Desktop Office PC,1.9,2.1,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.719,1.0,2,3.7,Sometimes,10.0,None,Low (1-2 cycles/wk),1.167,3,Streetwear / Heavy Denim,Never,1.95,Moderate Meat,3,Yes,Never,Tap / Filtered (0),6.08,11.783
Personal Car (Gasoline),5.1,1,1.664,High-End Gaming Laptop,0.6,4.6,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.152,3.0,5,3.0,Sometimes,17.0,Small Dog,Dormitory / Outsourced,3.469,9,Minimal / Capsule,Frequently (monthly),2.264,Vegetarian,2,No,Never,1-2 bottles/day,3.74,15.289
Metrobüs,6.5,3,2.477,High-End Gaming Laptop,3.5,4.5,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.038,3.0,0,3.7,Sometimes,9.0,Cat (Indoor),Medium (3-4 cycles/wk),1.774,8,Fast Fashion,Never,4.0,Moderate Meat,6,Yes,Sometimes (1-2/week),1-2 bottles/day,6.48,16.769
Bus Only,15.5,1,2.312,Desktop Gaming PC,3.4,5.7,Mid-Range Phone (4500 mAh),2,Apartment (Electric),5.318,0.0,0,5.5,Never,12.0,Cat (Indoor),Medium (3-4 cycles/wk),2.602,2,Minimal / Capsule,Frequently (monthly),0.514,Heavy Meat Eater,2,No,Rarely (1-2/month),Tap / Filtered (0),7.045,17.791
Metrobüs,4.8,1,0.997,High-End Gaming Laptop,0.4,4.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.506,0.0,0,4.1,Never,15.0,Cat (Indoor),Medium (3-4 cycles/wk),2.826,3,Fast Fashion,Rarely (1-2/yr),1.501,Moderate Meat,3,No,Rarely (1-2/month),Tap / Filtered (0),5.505,15.335
Marmaray + Metro (cross-city),10.1,2,1.653,Mid-Range Gaming Laptop,5.3,4.2,Budget Phone (4000 mAh),2,Dormitory (Shared),2.03,2.0,4,4.9,Sometimes,15.0,None,Dormitory / Outsourced,2.083,5,Fast Fashion,Sometimes (3-6/yr),2.505,Heavy Meat Eater,4,No,Sometimes (1-2/week),Tap / Filtered (0),7.24,15.512
Marmaray + Metro (cross-city),26.3,1,1.421,High-End Gaming Laptop,0.8,4.2,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.541,4.0,0,3.1,Sometimes,16.0,Cat (Indoor),Medium (3-4 cycles/wk),2.464,4,Vintage / Thrift,Rarely (1-2/yr),0.601,Vegan,3,Yes,Sometimes (1-2/week),Tap / Filtered (0),3.48,12.508
Personal Car (Gasoline),20.4,0,3.917,Ultrabook / Thin Laptop,10.1,6.4,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.756,0.0,0,1.8,Never,13.0,Cat (Indoor),Dormitory / Outsourced,2.349,1,Minimal / Capsule,Sometimes (3-6/yr),0.255,Moderate Meat,0,Yes,Sometimes (1-2/week),1-2 bottles/day,6.12,14.397
Personal Car (Diesel),10.3,1,2.446,Desktop Office PC,1.2,3.5,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.731,0.0,0,2.9,Never,10.0,None,High (5+ cycles/wk),1.588,11,Minimal / Capsule,Never,2.75,Pescatarian,0,No,Rarely (1-2/month),Tap / Filtered (0),4.525,13.041
Metrobüs,48.6,0,3.159,High-End Gaming Laptop,0.5,4.7,Budget Phone (4000 mAh),1,Apartment (Electric),4.151,2.0,4,1.8,Sometimes,10.0,None,Medium (3-4 cycles/wk),1.563,6,Designer / Luxury,Never,4.5,Moderate Meat,6,Yes,Sometimes (1-2/week),1-2 bottles/day,6.48,19.852
Walking / Cycling,56.0,4,2.74,Ultrabook / Thin Laptop,1.1,4.9,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.293,2.0,1,5.3,Never,12.0,None,Medium (3-4 cycles/wk),1.955,3,Designer / Luxury,Never,2.25,Pescatarian,3,No,Sometimes (1-2/week),1-2 bottles/day,4.9,16.138
Personal Car (Gasoline),15.2,0,2.918,High-End Gaming Laptop,1.5,4.5,Budget Phone (4000 mAh),2,Dormitory (Shared),1.912,3.0,5,4.2,Sometimes,13.0,None,Medium (3-4 cycles/wk),2.185,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Moderate Meat,1,No,Frequently (3+/week),Tap / Filtered (0),5.627,13.247
Electric Scooter / E-Bike,2.6,1,0.724,High-End Gaming Laptop,0.2,3.5,Budget Phone (4000 mAh),1,Dormitory (Shared),1.752,1.0,1,3.8,Sometimes,11.0,Small Dog,High (5+ cycles/wk),2.528,1,Designer / Luxury,Never,0.75,Vegetarian,5,No,Rarely (1-2/month),Tap / Filtered (0),3.825,9.579
Marmaray + Metro (cross-city),27.7,1,1.461,Desktop Gaming PC,2.2,4.2,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.573,3.0,2,4.9,Never,12.0,None,Medium (3-4 cycles/wk),2.123,4,Minimal / Capsule,Sometimes (3-6/yr),1.005,Heavy Meat Eater,3,No,Rarely (1-2/month),Tap / Filtered (0),7.105,14.268
Personal Car (Gasoline),3.0,5,4.001,Mid-Range Gaming Laptop,2.3,3.9,Budget Phone (4000 mAh),2,Apartment (Electric),4.152,3.0,0,0.0,Sometimes,4.0,None,Dormitory / Outsourced,0.071,9,Fast Fashion,Sometimes (3-6/yr),4.505,Vegan,1,No,Never,Tap / Filtered (0),2.66,15.389
Metrobüs,41.8,0,2.717,Desktop Office PC,3.4,6.9,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.996,0.0,1,3.9,Never,15.0,Small Dog,Medium (3-4 cycles/wk),3.231,8,Vintage / Thrift,Frequently (monthly),1.214,Vegetarian,1,Yes,Sometimes (1-2/week),1-2 bottles/day,4.38,13.538
Marmaray + Metro (cross-city),31.8,0,0.89,Mid-Range Gaming Laptop,0.1,3.3,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.696,0.0,2,1.0,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.438,3,Fast Fashion,Never,1.5,Pescatarian,4,No,Rarely (1-2/month),1-2 bottles/day,4.885,15.409
Bus Only,51.5,0,5.408,Standard Office Laptop,1.9,2.6,Mid-Range Phone (4500 mAh),2,Family Home (High Usage),6.616,1.0,1,3.0,Sometimes,17.0,None,Medium (3-4 cycles/wk),1.805,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Heavy Meat Eater,0,No,Never,Tap / Filtered (0),6.9,21.334
Personal Car (Gasoline),17.9,0,3.437,Desktop Gaming PC,0.1,4.0,Budget Phone (4000 mAh),1,Dormitory (Shared),2.183,2.0,5,2.5,Strict Recycler,12.0,Small Dog,High (5+ cycles/wk),2.246,5,Minimal / Capsule,Never,1.25,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,14.681
Personal Car (Hybrid),11.6,0,1.276,Desktop Gaming PC,3.0,3.9,Budget Phone (4000 mAh),1,Dormitory (Shared),2.644,0.0,3,4.0,Sometimes,3.0,None,Medium (3-4 cycles/wk),0.77,3,Fast Fashion,Sometimes (3-6/yr),1.505,Vegetarian,6,Yes,Rarely (1-2/month),5+ bottles/day,4.885,11.08
Marmaray + Metro (cross-city),10.9,1,0.99,Mid-Range Gaming Laptop,0.1,4.3,Budget Phone (4000 mAh),3,Apartment (Electric),4.063,0.0,0,3.3,Sometimes,10.0,Cat (Indoor),Medium (3-4 cycles/wk),1.781,1,Streetwear / Heavy Denim,Sometimes (3-6/yr),0.655,Heavy Meat Eater,0,No,Rarely (1-2/month),Tap / Filtered (0),6.925,14.415
Metrobüs,10.2,0,0.663,Tablet Only,6.1,3.3,Budget Phone (4000 mAh),3,Dormitory (Shared),1.592,0.0,0,5.0,Never,11.0,None,Dormitory / Outsourced,1.475,4,Fast Fashion,Never,2.0,Heavy Meat Eater,5,Yes,Frequently (3+/week),1-2 bottles/day,8.187,13.916
Ferry + Bus,29.6,0,2.812,Desktop Gaming PC,3.0,4.2,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),2.715,0.0,0,2.1,Sometimes,16.0,None,High (5+ cycles/wk),1.644,4,Streetwear / Heavy Denim,Never,2.6,Moderate Meat,3,Yes,Sometimes (1-2/week),1-2 bottles/day,6.3,16.071
Walking / Cycling,24.5,2,1.37,Mid-Range Gaming Laptop,1.8,4.2,Budget Phone (4000 mAh),1,Dormitory (Shared),1.833,1.0,5,4.1,Never,3.0,None,High (5+ cycles/wk),1.811,0,Fast Fashion,Rarely (1-2/yr),0.001,Moderate Meat,2,No,Never,Tap / Filtered (0),5.42,10.435
Personal Car (Diesel),16.2,1,3.455,Desktop Gaming PC,1.5,5.4,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),5.345,3.0,0,3.2,Sometimes,12.0,None,High (5+ cycles/wk),1.375,1,Minimal / Capsule,Rarely (1-2/yr),0.251,Moderate Meat,3,Yes,Rarely (1-2/month),3-4 bottles/day,6.385,16.812
Metrobüs,9.0,1,1.27,High-End Gaming Laptop,0.4,4.1,Budget Phone (4000 mAh),1,Apartment (Electric),4.105,0.0,2,0.5,Never,15.0,Medium/Large Dog,High (5+ cycles/wk),4.789,2,Vintage / Thrift,Frequently (monthly),0.314,Pescatarian,1,Yes,Never,5+ bottles/day,5.56,16.038
Electric Scooter / E-Bike,93.7,1,2.09,Mid-Range Gaming Laptop,0.9,4.2,Budget Phone (4000 mAh),2,Dormitory (Shared),1.793,1.0,0,1.6,Sometimes,9.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.262,3,Minimal / Capsule,Rarely (1-2/yr),0.751,Moderate Meat,1,No,Sometimes (1-2/week),Tap / Filtered (0),5.46,13.356
Electric Scooter / E-Bike,28.2,5,3.848,Mid-Range Gaming Laptop,5.1,4.8,Flagship Phone (5000 mAh),2,Dormitory (Shared),2.059,1.0,2,2.8,Sometimes,12.0,Small Dog,Low (1-2 cycles/wk),2.418,4,Streetwear / Heavy Denim,Frequently (monthly),2.614,Heavy Meat Eater,3,No,Rarely (1-2/month),3-4 bottles/day,7.385,18.323
Ferry + Bus,4.9,0,0.466,Ultrabook / Thin Laptop,5.9,5.3,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.668,0.0,0,4.7,Sometimes,9.0,None,Dormitory / Outsourced,0.759,2,Minimal / Capsule,Rarely (1-2/yr),0.501,Moderate Meat,3,No,Frequently (3+/week),Tap / Filtered (0),5.747,14.14
Personal Car (Diesel),10.4,3,3.833,Desktop Gaming PC,0.0,2.5,Flagship Phone (5000 mAh),2,Apartment (Electric),4.235,4.0,2,3.7,Sometimes,8.0,Medium/Large Dog,Low (1-2 cycles/wk),3.538,2,Vintage / Thrift,Frequently (monthly),0.314,Moderate Meat,3,Yes,Sometimes (1-2/week),Tap / Filtered (0),6.18,18.1
Personal Car (Hybrid),28.6,2,4.516,Desktop Gaming PC,2.3,2.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.934,0.0,0,1.2,Sometimes,10.0,Cat (Indoor),High (5+ cycles/wk),1.845,7,Streetwear / Heavy Denim,Sometimes (3-6/yr),4.555,Vegetarian,1,No,Rarely (1-2/month),1-2 bottles/day,3.705,19.555
Ferry + Bus,8.5,0,0.808,Mid-Range Gaming Laptop,3.2,6.5,Budget Phone (4000 mAh),1,Apartment (Electric),4.333,0.0,0,2.8,Sometimes,8.0,None,Low (1-2 cycles/wk),0.561,1,Vintage / Thrift,Sometimes (3-6/yr),0.155,Heavy Meat Eater,1,No,Sometimes (1-2/week),Tap / Filtered (0),7.06,12.917
Ferry + Bus,19.0,5,5.23,High-End Gaming Laptop,2.4,5.1,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.719,0.0,5,6.0,Never,15.0,Cat (Indoor),Medium (3-4 cycles/wk),3.763,4,Minimal / Capsule,Never,1.0,Pescatarian,2,Yes,Sometimes (1-2/week),1-2 bottles/day,5.44,20.152
Marmaray + Metro (cross-city),28.9,0,0.809,High-End Gaming Laptop,0.2,3.7,Mid-Range Phone (4500 mAh),2,Apartment (Electric),4.077,2.0,2,3.2,Never,8.0,None,Low (1-2 cycles/wk),1.463,9,Streetwear / Heavy Denim,Rarely (1-2/yr),5.851,Moderate Meat,2,No,Rarely (1-2/month),Tap / Filtered (0),5.445,17.646
Electric Scooter / E-Bike,1.4,0,0.021,Desktop Office PC,0.6,4.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.728,1.0,0,2.5,Never,7.0,None,Medium (3-4 cycles/wk),1.111,4,Vintage / Thrift,Never,0.6,Moderate Meat,3,No,Rarely (1-2/month),1-2 bottles/day,5.625,9.085
Marmaray + Metro (cross-city),13.8,2,1.756,High-End Gaming Laptop,0.7,3.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.79,1.0,0,3.7,Sometimes,21.0,Cat (Indoor),High (5+ cycles/wk),3.106,5,Minimal / Capsule,Never,1.25,Moderate Meat,1,Yes,Sometimes (1-2/week),1-2 bottles/day,6.18,14.082
Walking / Cycling,14.2,2,1.37,Desktop Gaming PC,4.5,4.3,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),5.668,0.0,0,4.1,Never,17.0,Cat (Indoor),Low (1-2 cycles/wk),2.883,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Heavy Meat Eater,2,No,Rarely (1-2/month),1-2 bottles/day,7.165,19.037
Personal Car (Diesel),11.2,1,2.6,Tablet Only,1.6,2.5,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.237,0.0,0,2.3,Never,3.0,None,Medium (3-4 cycles/wk),0.677,0,Vintage / Thrift,Sometimes (3-6/yr),0.005,Vegetarian,1,No,Rarely (1-2/month),Tap / Filtered (0),3.585,11.104
Personal Car (Hybrid),18.4,0,2.024,Ultrabook / Thin Laptop,1.7,5.3,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.61,0.0,4,3.8,Sometimes,8.0,None,Dormitory / Outsourced,1.276,5,Fast Fashion,Never,2.5,Moderate Meat,0,No,Rarely (1-2/month),Tap / Filtered (0),5.325,17.735
Personal Car (Hybrid),23.6,1,3.281,Mid-Range Gaming Laptop,6.8,4.3,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.11,0.0,1,2.5,Sometimes,13.0,Small Dog,Medium (3-4 cycles/wk),2.454,5,Fast Fashion,Rarely (1-2/yr),2.501,Pescatarian,5,No,Rarely (1-2/month),Tap / Filtered (0),4.825,15.172
Metrobüs,16.4,2,2.436,Standard Office Laptop,2.5,4.3,Flagship Phone (5000 mAh),2,Family Home (High Usage),6.667,1.0,0,4.1,Sometimes,14.0,Cat (Indoor),Dormitory / Outsourced,2.099,1,Vintage / Thrift,Rarely (1-2/yr),0.151,Vegan,2,Yes,Never,1-2 bottles/day,3.44,14.794
Ferry + Bus,11.5,1,1.777,Ultrabook / Thin Laptop,5.7,2.7,Flagship Phone (5000 mAh),3,Family Home (High Usage),6.654,3.0,1,3.3,Strict Recycler,5.0,None,Dormitory / Outsourced,-0.481,3,Streetwear / Heavy Denim,Never,1.95,Pescatarian,4,Yes,Frequently (3+/week),Tap / Filtered (0),5.607,15.506
Walking / Cycling,23.2,1,0.685,Tablet Only,1.5,4.8,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.575,0.0,0,3.7,Strict Recycler,18.0,None,Dormitory / Outsourced,0.604,8,Designer / Luxury,Rarely (1-2/yr),6.001,Moderate Meat,3,No,Sometimes (1-2/week),1-2 bottles/day,5.7,14.565
Electric Scooter / E-Bike,15.4,0,0.231,Standard Office Laptop,0.4,2.7,Flagship Phone (5000 mAh),2,Apartment (Electric),3.889,2.0,4,1.9,Strict Recycler,16.0,None,Dormitory / Outsourced,1.018,2,Streetwear / Heavy Denim,Sometimes (3-6/yr),1.305,Moderate Meat,0,No,Sometimes (1-2/week),Tap / Filtered (0),5.4,11.844
Personal Car (Hybrid),12.7,0,1.397,Ultrabook / Thin Laptop,6.6,3.0,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.344,0.0,0,1.8,Never,14.0,Medium/Large Dog,Medium (3-4 cycles/wk),4.249,3,Fast Fashion,Never,1.5,Vegan,6,No,Sometimes (1-2/week),1-2 bottles/day,3.18,14.67
Walking / Cycling,5.9,3,2.055,High-End Gaming Laptop,1.5,4.1,Budget Phone (4000 mAh),1,Family Home (High Usage),6.877,0.0,0,4.4,Sometimes,19.0,None,Dormitory / Outsourced,1.742,3,Fast Fashion,Sometimes (3-6/yr),1.505,Pescatarian,3,No,Sometimes (1-2/week),1-2 bottles/day,4.9,17.079
Bus Only,5.0,1,1.21,Desktop Gaming PC,0.5,7.8,Budget Phone (4000 mAh),1,Apartment (Natural Gas),5.574,0.0,2,2.9,Sometimes,14.0,None,Dormitory / Outsourced,1.493,6,Fast Fashion,Rarely (1-2/yr),3.001,Pescatarian,1,Yes,Frequently (3+/week),1-2 bottles/day,5.547,16.825
Bus Only,5.9,5,4.044,Tablet Only,0.9,4.3,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.254,0.0,2,3.4,Never,14.0,None,Dormitory / Outsourced,2.02,6,Fast Fashion,Sometimes (3-6/yr),3.005,Moderate Meat,1,No,Rarely (1-2/month),1-2 bottles/day,5.505,18.829
Marmaray + Metro (cross-city),18.1,1,1.192,Standard Office Laptop,0.1,0.1,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.216,1.0,1,2.5,Never,20.0,Small Dog,Low (1-2 cycles/wk),3.535,6,Minimal / Capsule,Never,1.5,Vegetarian,0,No,Sometimes (1-2/week),1-2 bottles/day,3.72,14.163
Electric Scooter / E-Bike,14.1,2,1.581,Tablet Only,1.6,3.0,Budget Phone (4000 mAh),2,Dormitory (Shared),1.549,2.0,0,4.3,Never,18.0,Cat (Indoor),Dormitory / Outsourced,3.034,3,Minimal / Capsule,Sometimes (3-6/yr),0.755,Vegetarian,3,No,Rarely (1-2/month),3-4 bottles/day,3.985,10.905
Metrobüs,5.3,0,0.344,Ultrabook / Thin Laptop,4.8,5.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.649,4.0,4,2.1,Sometimes,8.0,Cat (Indoor),High (5+ cycles/wk),2.455,1,Minimal / Capsule,Never,0.25,Moderate Meat,1,No,Frequently (3+/week),1-2 bottles/day,5.747,10.444
Personal Car (Hybrid),23.4,1,3.259,Desktop Gaming PC,6.8,2.3,Budget Phone (4000 mAh),1,Apartment (Natural Gas),5.705,2.0,2,2.8,Sometimes,15.0,None,High (5+ cycles/wk),1.963,3,Fast Fashion,Rarely (1-2/yr),1.501,Pescatarian,3,Yes,Frequently (3+/week),1-2 bottles/day,5.667,18.095
Ferry + Bus,38.9,0,3.696,Tablet Only,6.7,5.2,Mid-Range Phone (4500 mAh),2,Apartment (Electric),3.905,0.0,2,4.2,Sometimes,9.0,None,Low (1-2 cycles/wk),1.071,5,Minimal / Capsule,Never,1.25,Moderate Meat,3,No,Frequently (3+/week),3-4 bottles/day,6.027,15.948
Ferry + Bus,9.8,1,1.616,Standard Office Laptop,0.3,4.2,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.306,0.0,1,4.8,Sometimes,15.0,Small Dog,Medium (3-4 cycles/wk),2.781,5,Minimal / Capsule,Sometimes (3-6/yr),1.255,Heavy Meat Eater,1,No,Never,3-4 bottles/day,7.24,17.198
Personal Car (Hybrid),4.4,1,1.169,Mid-Range Gaming Laptop,1.2,5.5,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.571,2.0,0,2.2,Sometimes,14.0,Small Dog,Dormitory / Outsourced,2.268,10,Fast Fashion,Sometimes (3-6/yr),5.005,Vegetarian,1,Yes,Rarely (1-2/month),1-2 bottles/day,4.305,17.318
Personal Car (Diesel),9.1,6,5.666,Ultrabook / Thin Laptop,0.1,3.2,Budget Phone (4000 mAh),2,Dormitory (Shared),1.563,2.0,0,5.9,Sometimes,5.0,Small Dog,Medium (3-4 cycles/wk),1.722,3,Fast Fashion,Never,1.5,Heavy Meat Eater,5,No,Never,Tap / Filtered (0),7.2,17.651
Metrobüs,27.1,1,2.446,Mid-Range Gaming Laptop,4.8,3.0,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.633,1.0,1,3.5,Never,11.0,Small Dog,Medium (3-4 cycles/wk),2.833,5,Streetwear / Heavy Denim,Never,3.25,Moderate Meat,5,No,Rarely (1-2/month),1-2 bottles/day,5.745,18.907
Walking / Cycling,21.8,0,0.0,High-End Gaming Laptop,1.1,4.8,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.899,4.0,1,1.4,Strict Recycler,13.0,Cat (Indoor),Dormitory / Outsourced,1.088,4,Fast Fashion,Never,2.0,Moderate Meat,3,No,Rarely (1-2/month),Tap / Filtered (0),5.505,10.491
Personal Car (Diesel),7.8,0,1.334,Mid-Range Gaming Laptop,2.5,4.0,Budget Phone (4000 mAh),2,Apartment (Electric),4.168,1.0,2,3.6,Strict Recycler,10.0,Cat (Indoor),Low (1-2 cycles/wk),1.012,2,Minimal / Capsule,Never,0.5,Moderate Meat,2,Yes,Rarely (1-2/month),1-2 bottles/day,6.165,13.179
Personal Car (Diesel),43.2,0,7.387,Mid-Range Gaming Laptop,3.1,3.9,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.89,0.0,1,2.4,Strict Recycler,14.0,Cat (Indoor),Medium (3-4 cycles/wk),1.299,3,Vintage / Thrift,Rarely (1-2/yr),0.451,Moderate Meat,2,Yes,Sometimes (1-2/week),1-2 bottles/day,6.24,22.267
Marmaray + Metro (cross-city),38.2,1,1.755,Desktop Office PC,1.4,6.4,Budget Phone (4000 mAh),3,Apartment (Natural Gas),4.592,2.0,2,3.7,Never,16.0,Cat (Indoor),Medium (3-4 cycles/wk),3.284,4,Vintage / Thrift,Sometimes (3-6/yr),0.605,Vegan,2,No,Rarely (1-2/month),1-2 bottles/day,2.865,13.101
Bus Only,8.9,2,2.304,Ultrabook / Thin Laptop,0.9,4.9,Budget Phone (4000 mAh),2,Dormitory (Shared),1.599,1.0,1,2.9,Sometimes,12.0,None,Medium (3-4 cycles/wk),1.3,9,Streetwear / Heavy Denim,Frequently (monthly),5.864,Moderate Meat,0,Yes,Frequently (3+/week),1-2 bottles/day,6.287,17.353
Personal Car (Diesel),8.8,4,4.245,High-End Gaming Laptop,8.2,1.0,Budget Phone (4000 mAh),1,Dormitory (Shared),2.114,1.0,0,3.1,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.244,3,Streetwear / Heavy Denim,Frequently (monthly),1.964,Heavy Meat Eater,2,No,Rarely (1-2/month),1-2 bottles/day,7.165,16.731
